source,text,html
cloudflare_Made_in_CA_Grocery_Guide,"Prairie Ice Cream	Vanilla, chocolate, bubble gum, caramel, rainbow, mint chip, cotton candy, and monster cookie ice cream	Winnipeg, Manitoba","
	<td class=""column-1"">Prairie Ice Cream</td><td class=""column-2"">Vanilla, chocolate, bubble gum, caramel, rainbow, mint chip, cotton candy, and monster cookie ice cream</td><td class=""column-3"">Winnipeg, Manitoba</td>
"
cloudflare_Made_in_CA_Grocery_Guide,"Prana Foods	Organic, plant-based products, from breakfasts and snacks to baking and cooking essentials	Montreal, Quebec","
	<td class=""column-1"">Prana Foods</td><td class=""column-2"">Organic, plant-based products, from breakfasts and snacks to baking and cooking essentials</td><td class=""column-3"">Montreal, Quebec</td>
"
cloudflare_Made_in_CA_Grocery_Guide,"President’s Choice	Premium private label (Loblaws): food, beverages, household essentials, personal care (varies by item; some made in Canada, some imported)	Canada & Abroad (check label)","
	<td class=""column-1"">President’s Choice</td><td class=""column-2"">Premium private label (Loblaws): food, beverages, household essentials, personal care (varies by item; some made in Canada, some imported)</td><td class=""column-3"">Canada &amp; Abroad (check label)</td>
"
cloudflare_Made_in_CA_Grocery_Guide,"Prestige Maple Products	Maple syrup, caramel, and sugar	Saint-Eusèbe, Quebec","
	<td class=""column-1"">Prestige Maple Products</td><td class=""column-2"">Maple syrup, caramel, and sugar</td><td class=""column-3"">Saint-Eusèbe, Quebec</td>
"
cloudflare_Made_in_CA_Grocery_Guide,"Purity Products	Cookies, biscuits, crackers, candy, syrup, jams, and cranberry sauce	St. John's, Newfoundland","
	<td class=""column-1"">Purity Products</td><td class=""column-2"">Cookies, biscuits, crackers, candy, syrup, jams, and cranberry sauce </td><td class=""column-3"">St. John's, Newfoundland</td>
"
cloudflare_Made_in_CA_Grocery_Guide,"Ravine Mushrooms	Mushrooms	Woodbridge, Ontario","
	<td class=""column-1"">Ravine Mushrooms</td><td class=""column-2"">Mushrooms</td><td class=""column-3""> Woodbridge, Ontario</td>
"
cloudflare_Made_in_CA_Grocery_Guide,"Reinhart Foods	Vinegar, cherries, and baking products from Allen’s, Reinhart’s, Daltons, and Jaffa	Stayner, Ontario","
	<td class=""column-1"">Reinhart Foods</td><td class=""column-2"">Vinegar, cherries, and baking products from Allen’s, Reinhart’s, Daltons, and Jaffa</td><td class=""column-3"">Stayner, Ontario</td>
"
cloudflare_Made_in_CA_Grocery_Guide,"Ripe	Bone broths, vegan broths, organic bone broths	Montreal, Quebec","
	<td class=""column-1"">Ripe</td><td class=""column-2"">Bone broths, vegan broths, organic bone broths</td><td class=""column-3"">Montreal, Quebec</td>
"
cloudflare_Made_in_CA_Grocery_Guide,"Roger’s Chocolates	Chocolates and confections	Victoria, B.C.","
	<td class=""column-1"">Roger’s Chocolates</td><td class=""column-2"">Chocolates and confections</td><td class=""column-3"">Victoria, B.C.</td>
"
cloudflare_Made_in_CA_Grocery_Guide,"Roseanna's Peppers	Marinated peppers	Brantford, Ontario","
	<td class=""column-1"">Roseanna's Peppers </td><td class=""column-2"">Marinated peppers </td><td class=""column-3"">Brantford, Ontario</td>
"
cloudflare_Made_in_CA_Grocery_Guide,Simply Protein	Simple and crispy protein bars	Made in U.S. & Canada (check label),"
	<td class=""column-1"">Simply Protein</td><td class=""column-2"">Simple and crispy protein bars</td><td class=""column-3"">Made in U.S. &amp; Canada (check label)</td>
"
cloudflare_Made_in_CA_Grocery_Guide,SmartSweets	Low-sugar gummy & hard candy	Canada,"
	<td class=""column-1"">SmartSweets</td><td class=""column-2"">Low-sugar gummy &amp; hard candy</td><td class=""column-3"">Canada</td>
"
cloudflare_Made_in_CA_Grocery_Guide,"Summer Fresh	Salads, dressings, hummus, dips, and snacks	Woodbridge, Ontario","
	<td class=""column-1"">Summer Fresh</td><td class=""column-2"">Salads, dressings, hummus, dips, and snacks</td><td class=""column-3"">Woodbridge, Ontario</td>
"
cloudflare_Made_in_CA_Grocery_Guide,"Summerland Sweets	Fruit syrups, nut brittles, gourmet jams, fruit spreads, hot sauce, honey, fruit snacks	Summerland, BC","
	<td class=""column-1"">Summerland Sweets</td><td class=""column-2"">Fruit syrups, nut brittles, gourmet jams, fruit spreads, hot sauce, honey, fruit snacks</td><td class=""column-3"">Summerland, BC</td>
"
cloudflare_Made_in_CA_Grocery_Guide,"Sunrise Soya Foods	Tofu, tofu desserts, specialty tofu, soy beverages	Vancouver, BC, Delta, BC and Toronto, ON","
	<td class=""column-1"">Sunrise Soya Foods</td><td class=""column-2"">Tofu, tofu desserts, specialty tofu, soy beverages</td><td class=""column-3"">Vancouver, BC, Delta, BC and Toronto, ON</td>
"
cloudflare_Made_in_CA_Grocery_Guide,"Arva Flour Mills	Organic flour and grains and Red River Cereal	Arva, Ontario","
	<td class=""column-1"">Arva Flour Mills</td><td class=""column-2"">Organic flour and grains and Red River Cereal</td><td class=""column-3"">Arva, Ontario</td>
"
cloudflare_Made_in_CA_Grocery_Guide,"Au Pain Doré	Baguettes, buns, pastries, sliced & frozen breads	Montreal","
	<td class=""column-1"">Au Pain Doré</td><td class=""column-2"">Baguettes, buns, pastries, sliced &amp; frozen breads</td><td class=""column-3"">Montreal</td>
"
cloudflare_Made_in_CA_Grocery_Guide,"Carbonaut Bread	Pizza, bread, bagels, buns, tortillas, baking mixes, and granola	Abbotsford, British Columbia & Bedford, Nova Scotia","
	<td class=""column-1"">Carbonaut Bread</td><td class=""column-2"">Pizza, bread, bagels, buns, tortillas, baking mixes, and granola</td><td class=""column-3"">Abbotsford, British Columbia &amp; Bedford, Nova Scotia</td>
"
cloudflare_Made_in_CA_Grocery_Guide,"Dainty Rice	Wide range of rice products	Windsor, Ontario","
	<td class=""column-1"">Dainty Rice</td><td class=""column-2"">Wide range of rice products</td><td class=""column-3"">Windsor, Ontario</td>
"
cloudflare_Made_in_CA_Grocery_Guide,"K2 Milling	All-purpose flour, pastry flour, and bread flour	Tottenham, Ontario","
	<td class=""column-1"">K2 Milling</td><td class=""column-2"">All-purpose flour, pastry flour, and bread flour</td><td class=""column-3"">Tottenham, Ontario</td>
"
cloudflare_Made_in_CA_Grocery_Guide,"La Milanaise	Organic flour, flakes, grains, legumes, semolina, and sugar	Quebec","
	<td class=""column-1"">La Milanaise</td><td class=""column-2"">Organic flour, flakes, grains, legumes, semolina, and sugar</td><td class=""column-3"">Quebec</td>
"
